date,n_ecg_records_expected,n_ecg_records_found,n_ecg_records_valid_hrv,n_ecg_records_valid_morphology,complete_core_day
2026-04-01,6,6,6,3,False
2026-04-02,6,6,6,4,True
2026-04-03,6,6,6,1,True
2026-04-04,6,4,4,0,False
2026-04-05,6,6,6,2,True
2026-04-06,6,6,6,2,False
2026-04-07,6,6,6,2,True
2026-04-08,6,6,6,2,True
2026-04-09,6,6,6,3,True
2026-04-10,6,6,6,1,False
2026-04-11,6,6,6,1,True
2026-04-12,6,6,6,2,True
2026-04-13,6,6,6,6,False
2026-04-14,6,6,6,4,False
2026-04-15,6,6,6,4,False
2026-04-16,6,6,6,5,False
2026-04-17,6,6,6,3,True
2026-04-18,6,6,6,1,False
2026-04-19,6,6,6,0,False
2026-04-20,6,6,6,0,True
2026-04-21,6,6,6,3,False
2026-04-22,6,6,6,4,True
