phase,record_type,segment_label,n_total,n_dates,hrv_valid_n,hrv_valid_ratio,morphology_valid_n,morphology_valid_ratio
after,breath_in,end,22,22,22,1.0,2,0.09090909090909091
after,breath_in,full,22,22,22,1.0,3,0.13636363636363635
after,breath_in,start,22,22,22,1.0,8,0.36363636363636365
after,breath_out,end,22,22,22,1.0,11,0.5
after,breath_out,full,22,22,22,1.0,11,0.5
after,breath_out,start,22,22,22,1.0,15,0.6818181818181818
after,long,full,21,21,21,1.0,6,0.2857142857142857
after,sit,full,22,22,22,1.0,16,0.7272727272727273
after,squat,window,262,22,262,1.0,0,0.0
after,stand,full,22,22,22,1.0,3,0.13636363636363635
before,breath_in,end,22,22,22,1.0,4,0.18181818181818182
before,breath_in,full,22,22,22,1.0,3,0.13636363636363635
before,breath_in,start,22,22,22,1.0,10,0.45454545454545453
before,breath_out,end,22,22,21,0.9545454545454546,8,0.36363636363636365
before,breath_out,full,22,22,21,0.9545454545454546,12,0.5454545454545454
before,breath_out,start,22,22,22,1.0,11,0.5
before,long,full,21,21,21,1.0,7,0.3333333333333333
before,sit,full,22,22,22,1.0,15,0.6818181818181818
before,squat,window,257,22,257,1.0,0,0.0
before,stand,full,22,22,22,1.0,6,0.2727272727272727
